Thu Jun 26 15:47:39 2014    buildInstantiator.stats

         4010450 function calls (3597714 primitive calls) in 10.319 CPU seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    28092    0.058    0.000    0.075    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\protocols.py:218(_arguments_infer_argname)
70230/28092    0.063    0.000    0.073    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:440(frame)
    33544    0.045    0.000    0.069    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:93(_init_set_doc)
    32954    0.066    0.000    0.066    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\scoped_nodes.py:553(set_line_info)
    28092    0.050    0.000    0.059    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:71(push)
    28092    0.051    0.000    0.051    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:367(infer)
    56184    0.048    0.000    0.048    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:62(__init__)
42138/14046    0.041    0.000    0.044    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:445(scope)
   146157    0.044    0.000    0.044    0.000 {method 'setdefault' of 'dict' objects}
    33249    0.038    0.000    0.038    0.000 {method 'pop' of 'list' objects}
    14046    0.014    0.000    0.029    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\mixins.py:65(_get_filtered_stmts)
    14046    0.021    0.000    0.027    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:46(__getattr__)
    89433    0.023    0.000    0.023    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\scoped_nodes.py:115(frame)
    56343    0.020    0.000    0.020    0.000 {method 'add' of 'set' objects}
    14046    0.012    0.000    0.016    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\mixins.py:78(ass_type)
      295    0.015    0.000    0.015    0.000 {method 'encode' of 'str' objects}
    14046    0.012    0.000    0.012    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\protocols.py:212(assend_assigned_stmts)
    14046    0.011    0.000    0.011    0.000 {method 'index' of 'list' objects}
      295    0.003    0.000    0.011    0.000 e:\Develop\desarrollo\python\other\sublimetext-playero-plugin\Playero.py:9(classes_transform)
    14046    0.009    0.000    0.009    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:42(__init__)
    28092    0.008    0.000    0.008    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:53(infer)
    14046    0.007    0.000    0.007    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\node_classes.py:453(__init__)
    28092    0.006    0.000    0.006    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:565(_infer_name)
      590    0.005    0.000    0.005    0.000 {method 'join' of 'str' objects}
      295    0.005    0.000    0.005    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\builder.py:88(__init__)
      477    0.004    0.000    0.005    0.000 e:\Develop\desarrollo\python\other\sublimetext-playero-plugin\cache.py:13(new_f)
    14046    0.004    0.000    0.004    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:582(has_base)
    14046    0.004    0.000    0.004    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\mixins.py:62(ass_type)
    14046    0.003    0.000    0.003    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\scoped_nodes.py:120(scope)
      295    0.002    0.000    0.003    0.000 e:\Develop\desarrollo\python\other\sublimetext-playero-plugin\funcs.py:163(getModName)
      295    0.002    0.000    0.002    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\brain\py2stdlib.py:21(transform)
      295    0.002    0.000    0.002    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:137(__init__)
      295    0.002    0.000    0.002    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\scoped_nodes.py:248(__init__)
      295    0.002    0.000    0.002    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\scoped_nodes.py:761(__init__)
     2542    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
      477    0.001    0.000    0.001    0.000 e:\Develop\desarrollo\python\other\sublimetext-playero-plugin\funcs.py:120(findPaths)
      295    0.001    0.000    0.001    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\manager.py:304(cache_module)
     2065    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
      295    0.001    0.000    0.001    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\scoped_nodes.py:787(set_line_info)
      590    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
      295    0.001    0.000    0.001    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\raw_building.py:210(__init__)
      295    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
      295    0.000    0.000    0.000    0.000 e:\Develop\desarrollo\python\other\sublimetext-playero-plugin\Playero.py:23(modules_transform)
      295    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
      477    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        0    0.000             0.000          profile:0(profiler)


