Thu Jun 26 16:04:11 2014    classes_transform.stats

         6437059 function calls (5945724 primitive calls) in 24.335 CPU seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    46434    0.054    0.000    0.584    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:548(set_local)
    15332    0.246    0.000    0.557    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\node_classes.py:131(_filter_stmts)
      116    0.004    0.000    0.476    0.004 e:\Develop\desarrollo\python\other\sublimetext-playero-plugin\Playero.py:99(buildIterator)
    61471    0.237    0.000    0.461    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:111(_set_infos)
    46139    0.079    0.000    0.429    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:680(visit_pass)
    93100    0.347    0.000    0.373    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:402(get_children)
    15332    0.148    0.000    0.340    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\inference.py:351(infer_ass)
   261714    0.245    0.000    0.336    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\manager.py:280(transform)
   539577    0.328    0.000    0.328    0.000 {hasattr}
   483968    0.260    0.000    0.260    0.000 {getattr}
   382393    0.195    0.000    0.195    0.000 {isinstance}
   246345    0.171    0.000    0.171    0.000 {method 'split' of 'str' objects}
    13427    0.166    0.000    0.166    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\scoped_nodes.py:248(__init__)
   281112    0.143    0.000    0.143    0.000 {method 'append' of 'list' objects}
    60504    0.083    0.000    0.134    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:93(_init_set_doc)
    30664    0.036    0.000    0.128    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\protocols.py:250(arguments_assigned_stmts)
168652/61328    0.120    0.000    0.120    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:434(statement)
    45996    0.079    0.000    0.116    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:77(clone)
   328170    0.111    0.000    0.111    0.000 {method 'endswith' of 'str' objects}
    46666    0.109    0.000    0.109    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\scoped_nodes.py:553(set_line_info)
      544    0.002    0.000    0.106    0.000 c:\Python26\lib\xml\sax\expatreader.py:196(feed)
    15332    0.084    0.000    0.102    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\node_classes.py:53(are_exclusive)
      544    0.029    0.000    0.098    0.000 {built-in method Parse}
    30664    0.073    0.000    0.092    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\protocols.py:218(_arguments_infer_argname)
76660/30664    0.073    0.000    0.080    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:440(frame)
    13427    0.073    0.000    0.073    0.000 {method 'encode' of 'str' objects}
   201247    0.071    0.000    0.071    0.000 {method 'setdefault' of 'dict' objects}
    30664    0.059    0.000    0.069    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:71(push)
      139    0.010    0.000    0.068    0.000 e:\Develop\desarrollo\python\other\sublimetext-playero-plugin\funcs.py:131(getFullPaths)
     8766    0.040    0.000    0.066    0.000 c:\Python26\lib\ntpath.py:63(join)
    13427    0.065    0.000    0.065    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:137(__init__)
    13427    0.064    0.000    0.064    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\brain\py2stdlib.py:21(transform)
    47077    0.064    0.000    0.064    0.000 {method 'pop' of 'list' objects}
 4899/113    0.010    0.000    0.062    0.001 c:\Python26\lib\ast.py:227(visit)
      113    0.000    0.000    0.061    0.001 e:\Develop\desarrollo\python\other\sublimetext-playero-plugin\pyparse.py:30(visit_Module)
 2611/113    0.005    0.000    0.061    0.001 e:\Develop\desarrollo\python\other\sublimetext-playero-plugin\pyparse.py:26(generic_visit)
 2611/113    0.016    0.000    0.061    0.001 c:\Python26\lib\ast.py:233(generic_visit)
    30664    0.059    0.000    0.059    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:367(infer)
    61328    0.058    0.000    0.058    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:62(__init__)
     4064    0.004    0.000    0.055    0.000 ..\Modules\pyexpat.c:604(StartElement)
