Thu Jul 03 17:20:01 2014    14classes_transform.stats

         3369644 function calls (3098681 primitive calls) in 6.550 CPU seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  517/225    0.002    0.000    6.550    0.029 e:\Develop\desarrollo\python\other\pylint-playero-plugin\Playero.py:11(classes_transform)
      153    0.020    0.000    6.506    0.043 e:\Develop\desarrollo\python\other\pylint-playero-plugin\Playero.py:49(buildRecordModule)
24438/14583    0.071    0.000    6.172    0.000 e:\Develop\desarrollo\python\other\pylint-playero-plugin\cache.py:20(new_f)
      879    0.022    0.000    3.664    0.004 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\builder.py:137(string_build)
      170    0.015    0.000    3.283    0.019 e:\Develop\desarrollo\python\other\pylint-playero-plugin\Playero.py:125(buildInstantiator)
      879    0.006    0.000    2.944    0.003 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\builder.py:160(_data_build)
  146/138    0.262    0.002    2.638    0.019 e:\Develop\desarrollo\python\other\pylint-playero-plugin\funcs.py:127(getClassInfo)
      879    0.007    0.000    2.222    0.003 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:147(visit_module)
113646/879    0.163    0.000    2.198    0.003 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:157(visit)
      292    0.017    0.000    2.141    0.007 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:322(visit_class)
    19756    0.192    0.000    2.124    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:499(visit_function)
      999    1.210    0.001    1.210    0.001 {compile}
     7592    1.004    0.000    1.004    0.000 {nt.listdir}
    19756    0.226    0.000    0.979    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:176(visit_arguments)
      879    0.001    0.000    0.714    0.001 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\builder.py:38(parse)
      879    0.007    0.000    0.689    0.001 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\builder.py:143(_post_build)
     8613    0.040    0.000    0.680    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\builder.py:201(delayed_assattr)
34452/17226    0.066    0.000    0.611    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:307(wrapped)
      120    0.009    0.000    0.574    0.005 e:\Develop\desarrollo\python\other\pylint-playero-plugin\pyparse.py:5(parseScript)
     8906    0.017    0.000    0.510    0.000 c:\Python26\lib\genericpath.py:15(exists)
      120    0.000    0.000    0.498    0.004 c:\Python26\lib\ast.py:32(parse)
     8906    0.493    0.000    0.493    0.000 {nt.stat}
    37152    0.243    0.000    0.467    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:645(visit_name)
     8613    0.054    0.000    0.387    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:224(visit_assign)
      122    0.002    0.000    0.326    0.003 e:\Develop\desarrollo\python\other\pylint-playero-plugin\Playero.py:106(buildIterator)
     8613    0.017    0.000    0.284    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\inference.py:144(infer_name)
34452/17226    0.068    0.000    0.272    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:97(_infer_stmts)
     8613    0.011    0.000    0.252    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\node_classes.py:108(lookup)
    94477    0.097    0.000    0.233    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:510(set_line_info)
     8613    0.010    0.000    0.222    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\scoped_nodes.py:522(scope_lookup)
   114525    0.161    0.000    0.213    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:413(last_child)
     8613    0.018    0.000    0.212    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\scoped_nodes.py:127(_scope_lookup)
    19756    0.194    0.000    0.194    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\scoped_nodes.py:543(__init__)
     8613    0.086    0.000    0.194    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:541(visit_getattr)
     8613    0.086    0.000    0.193    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\node_classes.py:131(_filter_stmts)
    86570    0.104    0.000    0.163    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:104(_lineno_parent)
    19756    0.047    0.000    0.135    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:524(_fixed_source_line)
      112    0.006    0.000    0.128    0.001 e:\Develop\desarrollo\python\other\pylint-playero-plugin\funcs.py:70(getRecordsInfo)
