Thu Jul 03 12:15:25 2014    12classes_transform.stats

         5165946 function calls (4706413 primitive calls) in 10.706 CPU seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  631/219    0.003    0.000   10.706    0.049 e:\Develop\desarrollo\python\other\pylint-playero-plugin\Playero.py:10(classes_transform)
      147    0.026    0.000   10.646    0.072 e:\Develop\desarrollo\python\other\pylint-playero-plugin\Playero.py:48(buildRecordModule)
      999    0.045    0.000    6.910    0.007 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\builder.py:137(string_build)
      296    0.032    0.000    6.541    0.022 e:\Develop\desarrollo\python\other\pylint-playero-plugin\Playero.py:126(buildInstantiator)
      999    0.009    0.000    5.466    0.005 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\builder.py:160(_data_build)
      999    0.010    0.000    4.048    0.004 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:147(visit_module)
197400/999    0.312    0.000    4.014    0.004 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:157(visit)
      412    0.034    0.000    3.940    0.010 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:322(visit_class)
    34112    0.387    0.000    3.879    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:499(visit_function)
23799/13944    0.082    0.000    3.824    0.000 e:\Develop\desarrollo\python\other\pylint-playero-plugin\cache.py:20(new_f)
  146/138    0.296    0.002    3.526    0.026 e:\Develop\desarrollo\python\other\pylint-playero-plugin\funcs.py:127(getClassInfo)
     1119    2.617    0.002    2.617    0.002 {compile}
    34112    0.340    0.000    1.694    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:176(visit_arguments)
      999    0.002    0.000    1.404    0.001 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\builder.py:38(parse)
      999    0.014    0.000    1.384    0.001 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\builder.py:143(_post_build)
    15164    0.081    0.000    1.368    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\builder.py:201(delayed_assattr)
      120    0.011    0.000    1.314    0.011 e:\Develop\desarrollo\python\other\pylint-playero-plugin\pyparse.py:5(parseScript)
60656/30328    0.131    0.000    1.227    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:307(wrapped)
