Thu Jul 03 10:25:42 2014    11classes_transform.stats

         6735706 function calls (6214753 primitive calls) in 14.165 CPU seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    48600    0.062    0.000    0.191    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:168(_save_assignment)
   506218    0.166    0.000    0.166    0.000 {getattr}
      112    0.007    0.000    0.145    0.001 e:\Develop\desarrollo\python\other\pylint-playero-plugin\funcs.py:70(getRecordsInfo)
      250    0.002    0.000    0.131    0.001 e:\Develop\desarrollo\python\other\pylint-playero-plugin\parse.py:8(parseRecordXML)
    48600    0.035    0.000    0.129    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:548(set_local)
   399671    0.118    0.000    0.118    0.000 {isinstance}
   258899    0.116    0.000    0.116    0.000 {method 'split' of 'str' objects}
      250    0.002    0.000    0.100    0.000 c:\Python26\lib\xml\sax\expatreader.py:100(parse)
      250    0.003    0.000    0.090    0.000 c:\Python26\lib\xml\sax\xmlreader.py:115(parse)
    63351    0.053    0.000    0.083    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:93(_init_set_doc)
    31882    0.024    0.000    0.082    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\protocols.py:250(arguments_assigned_stmts)
175351/63764    0.082    0.000    0.082    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:434(statement)
   293778    0.081    0.000    0.081    0.000 {method 'append' of 'list' objects}
    47823    0.052    0.000    0.076    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:77(clone)
   344952    0.074    0.000    0.074    0.000 {method 'endswith' of 'str' objects}
      500    0.001    0.000    0.072    0.000 c:\Python26\lib\xml\sax\expatreader.py:196(feed)
    48844    0.069    0.000    0.069    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\scoped_nodes.py:553(set_line_info)
      500    0.021    0.000    0.068    0.000 {built-in method Parse}
      146    0.010    0.000    0.066    0.000 e:\Develop\desarrollo\python\other\pylint-playero-plugin\funcs.py:124(getFullPaths)
    15941    0.050    0.000    0.062    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\node_classes.py:53(are_exclusive)
    31882    0.045    0.000    0.058    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\protocols.py:218(_arguments_infer_argname)
