Thu Jul 03 14:47:38 2014    6modules_transform.stats

         2914781 function calls (2562177 primitive calls) in 5.836 CPU seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  316/299    0.001    0.000    0.328    0.001 c:\Python26\lib\profilehooks.py:233(new_fn)
  316/299    0.001    0.000    0.327    0.001 c:\Python26\lib\profilehooks.py:326(__call__)
    34554    0.043    0.000    0.321    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\node_classes.py:315(get_children)
    35024    0.272    0.000    0.279    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:402(get_children)
     7640    0.016    0.000    0.262    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\inference.py:144(infer_name)
     7640    0.010    0.000    0.231    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\node_classes.py:108(lookup)
       12    0.000    0.000    0.205    0.017 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\inference.py:175(infer_import)
     7633    0.009    0.000    0.203    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\scoped_nodes.py:522(scope_lookup)
7653/7640    0.017    0.000    0.194    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\scoped_nodes.py:127(_scope_lookup)
     7633    0.078    0.000    0.177    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\node_classes.py:131(_filter_stmts)
     16/8    0.000    0.000    0.171    0.021 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\inference.py:210(infer_getattr)
    82328    0.109    0.000    0.167    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:104(_lineno_parent)
8531/8383    0.034    0.000    0.154    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:541(visit_getattr)
       62    0.001    0.000    0.140    0.002 e:\Develop\desarrollo\python\other\pylint-playero-plugin\Playero.py:104(buildIterator)
    25305    0.062    0.000    0.114    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:111(_set_infos)
    70354    0.082    0.000    0.114    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\scoped_nodes.py:146(set_local)
7606/7604    0.041    0.000    0.101    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\inference.py:351(infer_ass)
    16840    0.017    0.000    0.092    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:680(visit_pass)
   205855    0.090    0.000    0.090    0.000 {method 'split' of 'str' objects}
    17875    0.023    0.000    0.075    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:168(_save_assignment)
   223997    0.073    0.000    0.073    0.000 {hasattr}
  212/136    0.002    0.000    0.069    0.001 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:570(visit_if)
     3573    0.005    0.000    0.068    0.000 c:\Python26\lib\ntpath.py:466(abspath)
  862/739    0.009    0.000    0.055    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:308(visit_callfunc)
173309/173304    0.055    0.000    0.055    0.000 {getattr}
18456/17913    0.014    0.000    0.053    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:548(set_local)
   258507    0.052    0.000    0.052    0.000 {method 'endswith' of 'str' objects}
   155638    0.049    0.000    0.049    0.000 {isinstance}
    17559    0.049    0.000    0.049    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\scoped_nodes.py:543(__init__)
