Thu Jun 26 15:18:14 2014    buildRecordModule.stats

         6426330 function calls (5935708 primitive calls) in 20.287 CPU seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   261648    0.220    0.000    0.293    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\manager.py:280(transform)
   483732    0.250    0.000    0.250    0.000 {getattr}
    46426    0.051    0.000    0.207    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:548(set_local)
      131    0.011    0.000    0.206    0.002 e:\Develop\desarrollo\python\other\sublimetext-playero-plugin\funcs.py:77(getRecordsInfo)
      271    0.003    0.000    0.186    0.001 e:\Develop\desarrollo\python\other\sublimetext-playero-plugin\parse.py:8(parseRecordXML)
   382107    0.173    0.000    0.173    0.000 {isinstance}
   244573    0.164    0.000    0.164    0.000 {method 'split' of 'str' objects}
    13426    0.147    0.000    0.147    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\scoped_nodes.py:248(__init__)
      271    0.003    0.000    0.141    0.001 c:\Python26\lib\xml\sax\expatreader.py:100(parse)
   281037    0.129    0.000    0.129    0.000 {method 'append' of 'list' objects}
      271    0.005    0.000    0.126    0.000 c:\Python26\lib\xml\sax\xmlreader.py:115(parse)
    30648    0.033    0.000    0.122    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\protocols.py:250(arguments_assigned_stmts)
    60494    0.076    0.000    0.119    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:93(_init_set_doc)
168564/61296    0.115    0.000    0.115    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:434(statement)
   325605    0.107    0.000    0.107    0.000 {method 'endswith' of 'str' objects}
    45972    0.072    0.000    0.107    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:77(clone)
      542    0.002    0.000    0.099    0.000 c:\Python26\lib\xml\sax\expatreader.py:196(feed)
    46658    0.096    0.000    0.096    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\scoped_nodes.py:553(set_line_info)
    15324    0.075    0.000    0.094    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\node_classes.py:53(are_exclusive)
      542    0.028    0.000    0.092    0.000 {built-in method Parse}
    30648    0.072    0.000    0.089    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\protocols.py:218(_arguments_infer_argname)
76620/30648    0.076    0.000    0.082    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:440(frame)
   201206    0.072    0.000    0.072    0.000 {method 'setdefault' of 'dict' objects}
    13426    0.066    0.000    0.067    0.000 {method 'encode' of 'str' objects}
      138    0.010    0.000    0.065    0.000 e:\Develop\desarrollo\python\other\sublimetext-playero-plugin\funcs.py:131(getFullPaths)
    30648    0.054    0.000    0.064    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:71(push)
    40/34    0.004    0.000    0.061    0.002 e:\Develop\desarrollo\python\other\sublimetext-playero-plugin\funcs.py:98(getRecordInheritance)
    47068    0.059    0.000    0.059    0.000 {method 'pop' of 'list' objects}
     8702    0.034    0.000    0.059    0.000 c:\Python26\lib\ntpath.py:63(join)
    61296    0.055    0.000    0.055    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:62(__init__)
 4854/110    0.009    0.000    0.055    0.001 c:\Python26\lib\ast.py:227(visit)
    13426    0.055    0.000    0.055    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:137(__init__)
    30648    0.055    0.000    0.055    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:367(infer)
